yyyy,mm,maxC,minC
1944,3,9.5,0.5
1944,4,13.7,4.1
1944,5,15,4.9
1944,6,16.9,7.2
1944,7,19.2,10.4
1944,8,20.4,11.1
1944,9,16,6.9
1944,10,11.8,5.1
1944,11,8.5,2.3
1944,12,6.1,1.2
1945,1,3.5,-2.5
1945,2,9.8,3.3
1945,3,12.5,2.8
1945,4,13.8,4
1945,5,15.6,6.1
1945,6,17.9,9.1
1945,7,21.3,11.4
1945,8,19.6,10.6
1945,9,18,9.1
1945,10,15.3,7
1945,11,10,4.7
1945,12,6.7,1.8
1946,1,5.1,-0.4
1946,2,8.4,2.2
1946,3,8.8,1.4
1946,4,13.9,4.6
1946,5,13.4,4.8
1946,6,17.2,7.9
1946,7,20.3,10.8
1946,8,18,9.4
1946,9,16.3,9
1946,10,11.6,5.9
1946,11,9.9,4.7
1946,12,5.7,0.7
1947,1,4.7,0.1
1947,2,0.6,-2.9
1947,3,4.7,-1.1
1947,4,11.1,4
1947,5,16.7,6.6
1947,6,18.5,10.1
1947,7,20.2,12
1947,8,23,11.4
1947,9,19.1,8.8
1947,10,14.6,6.5
1947,11,9,2.7
1947,12,7.4,2.2
1948,1,6.2,1.6
1948,2,6.9,1.7
1948,3,11.9,3.1
1948,4,12.9,3.8
1948,5,14.9,4.6
1948,6,16.2,8.2
1948,7,19.2,10.5
1948,8,17.4,10
1948,9,16.6,9
1948,10,13.5,5.6
1948,11,9.4,3.4
1948,12,7.2,1.6
1949,1,7.9,1.1
1949,2,8.6,1.7
1949,3,8.3,1.3
1949,4,14,5.6
1949,5,15.9,5.1
1949,6,19.5,7.9
1949,7,21.2,11.2
1949,8,20.5,11.3
1949,9,19.4,11.1
1949,10,14.5,7.3
1949,11,8.9,3.3
1949,12,7.9,2.3
1950,1,6.4,1.8
1950,2,7,0.8
1950,3,11.1,2.8
1950,4,10.6,2.6
1950,5,12.9,5.9
1950,6,20.6,9.8
1950,7,19.8,10.9
1950,8,18.9,9.8
1950,9,15.6,8.4
1950,10,12.8,5.9
1950,11,8.3,2.5
1950,12,3.3,-1.2
1951,1,5.5,-0.1
1951,2,5.9,0.2
1951,3,7.1,-0.3
1951,4,10.3,1.7
1951,5,11.8,4.6
1951,6,16.8,7.4
1951,7,20.3,10.7
1951,8,18.1,10
1951,9,17.5,8.9
1951,10,13.3,5.9
1951,11,10.5,5
1951,12,7.3,1.3
1952,1,4.2,-0.8
1952,2,6.9,0.5
1952,3,8.8,2.2
1952,4,13.3,3.7
1952,5,17.4,7.4
1952,6,18.8,8.7
1952,7,20.9,11.1
1952,8,19.5,10.7
1952,9,14.2,6.8
1952,10,11.5,5.3
1952,11,6.6,1.1
1952,12,5.1,0.2
1953,1,6.8,1.5
1953,2,7.3,1.6
1953,3,11.9,0.6
1953,4,10.3,1.8
1953,5,16.5,7.5
1953,6,16.6,8.6
1953,7,18.6,10.4
1953,8,19.9,10.6
1953,9,17.6,9.1
1953,10,12.7,4.5
1953,11,10.3,5.3
1953,12,8.4,3.4
1954,1,5.1,0.2
1954,2,3.9,-1.3
1954,3,7.7,1.5
1954,4,11.1,2.7
1954,5,14.2,6.4
1954,6,15.8,8.9
1954,7,17.7,9.7
1954,8,16.8,10
1954,9,16,6.9
1954,10,14.1,7.5
1954,11,9.1,3.1
1954,12,8.7,2.9
1955,1,3.9,-0.7
1955,2,2.9,-2.2
1955,3,6.3,-0.7
1955,4,13.3,4.1
1955,5,12.5,4.1
1955,6,15.8,7.7
1955,7,22.1,10.7
1955,8,21.2,11.6
1955,9,18,8.9
1955,10,12.8,4.5
1955,11,9.3,4.4
1955,12,6.9,1.3
1956,1,5.3,-0.3
1956,2,3.3,-3.1
1956,3,8.2,1.6
1956,4,10.2,0.7
1956,5,16.1,5.8
1956,6,16,7.9
1956,7,18.2,10.9
1956,8,16.1,8.6
1956,9,16.5,9.3
1956,10,12.9,5.8
1956,11,8.6,2.9
1956,12,7.5,2.3
1957,1,7.8,2.2
1957,2,7.1,0.2
1957,3,11.2,4.4
1957,4,11.9,3.1
1957,5,13.9,4.8
1957,6,19.3,7.7
1957,7,18.6,11.9
1957,8,17.7,10.8
1957,9,14.9,7.5
1957,10,13.6,5.6
1957,11,9,4
1957,12,6.9,1.2
1958,1,5,-0.8
1958,2,6.2,0.4
1958,3,5.5,-0.7
1958,4,10.8,2.5
1958,5,13.6,5
1958,6,15.8,8.2
1958,7,19.1,10.2
1958,8,19.1,10.6
1958,9,17.7,9.9
1958,10,13.7,5.8
1958,11,8.7,2.3
1958,12,6.3,1.7
1959,1,3.6,-2.2
1959,2,6.9,0.8
1959,3,9.8,3.1
1959,4,13,3.7
1959,5,16.4,6.1
1959,6,19,9.1
1959,7,21.4,10.9
1959,8,21.7,11.2
1959,9,19.4,7.8
1959,10,15.7,7.5
1959,11,9.5,3.2
1959,12,7.6,2.2
1960,1,6,0.4
1960,2,5.9,-0.2
1960,3,7.2,2.6
1960,4,13.1,3.8
1960,5,16.1,6.2
1960,6,20.1,9.6
1960,7,18.4,9.8
1960,8,18.4,9.5
